Exchange,Rank,Name
Binance,235,Vanar VANRY
Binance,238,Storj STORJ
Binance,240,COTI COTI
Binance,241,Yield Guild Games YGG
Binance,242,ICON ICX
Binance,243,Horizen ZEN
Binance,247,XAI XAI
Binance,248,Kadena KDA
Binance,248,Solar SXP
Binance,249,Swipe SXP
Binance,252,API3 API3
Binance,253,Neutron NTRN
Binance,254,Balancer BAL
Binance,256,Saga SAGA
Binance,257,Lisk LSK
Binance,261,WAX WAXP
Binance,265,Pixels PIXEL
Binance,268,DigiByte DGB
Binance,273,Cartesi CTSI
Binance,274,Powerledger POWR
Binance,274,Trader Joe JOE
Binance,276,TrueFi TRU
Binance,277,Treasure DAO MAGIC
Binance,283,AltLayer ALT
Binance,283,Marlin POND
Binance,286,iExec RLC
Binance,287,Coin98 Finance C98
Binance,288,Nano XNO
Binance,290,Fusionist ACE
Binance,291,Venus XVS
Binance,292,IQ.wiki IQ
Binance,295,Prom PROM
Binance,300,IOST IOST
Binance,301,Pundi X PUNDIX
Binance,303,Bounce Finance AUCTION
Binance,303,Gains Network GNS
Binance,308,Lista DAO LISTA
Binance,309,SUN SUN
Binance,310,Myro MYRO
Binance,320,Celer Network CELR
Binance,321,Dusk DUSK
Binance,321,Stratis STRAX
Binance,323,Numerai NMR
Binance,325,My Neighbor Alice ALICE
Binance,325,RSK Infrastructure Framework RIF
Binance,326,StormX STMX
Binance,329,Radiant Capital RDNT
Binance,330,Mines of Dalarnia DAR
Binance,335,Status SNT
Binance,336,Sleepless AI AI
Binance,338,Hive HIVE
Binance,341,Big Time BIGTIME
Binance,344,Shentu Chain CTK
Binance,345,Abracadabra SPELL
Binance,346,Hooked Protocol HOOK
Binance,347,Kyber Network KNC
Binance,350,Steem STEEM
Binance,351,Phala Network PHA
Binance,353,Standard Tokenization Protocol STPT
Binance,355,Moonriver MOVR
Binance,358,Omni Network OMNI
Binance,359,Cyber CYBER
Binance,361,Dent DENT
Binance,369,Civic CVC
Binance,371,DODO DODO
Binance,374,BakerySwap BAKE
Binance,375,Request Network REQ
Binance,376,Synapse SYN
Binance,377,Portal PORTAL
Binance,381,Hashflow HFT
Binance,386,Stargate Finance STG
Binance,387,Syscoin SYS
Binance,389,Bancor BNT
Binance,390,Hifi Finance HIFI
Binance,391,Phoenix PHB
Binance,391,Loom Network LOOM
Binance,392,Liquity LQTY
Binance,395,Vulcan Forged PYR
Binance,397,Bluzelle BLZ
Binance,398,BENQI QI
Binance,402,Metal Pay MTL
Binance,403,Ardor ARDR
Binance,403,Ark ARK
Binance,407,LeverFi LEVER
Binance,410,Loot AGLD
Binance,411,Secret Network SCRT
Binance,413,Acala ACA
Binance,419,Verge XVG
Binance,420,Frontier FRONT
Binance,422,WazirX WRX
Binance,428,Renzo Protocol REZ
Binance,430,QuarkChain QKC
Binance,437,Radicle RAD
Binance,438,Badger DAO BADGER
Binance,450,Stella ALPHA
Binance,451,NKN NKN
Binance,456,Tensor TNSR
Binance,459,Cream Finance CREAM
Binance,461,Origin Protocol OGN
Binance,462,SuperRare RARE
Binance,467,Aavegotchi GHST
Binance,468,MOBOX MBOX
Binance,481,LTO Network LTO
Binance,482,StaFi FIS
Binance,483,REI Network REI
Binance,483,Enzyme MLN
Binance,492,Alien Worlds TLM
Binance,494,MovieBloc MBL
Binance,496,Beta Finance BETA
Binance,497,Gitcoin GTC
Binance,498,CLV CLV
Binance,503,Orchid Protocol OXT
Binance,504,Lumia ORN
Binance,505,Automata Network ATA
Binance,507,Ethernity ERN
Binance,510,Maverick Protocol MAV
Binance,511,Cortex CTXC
Binance,515,Ren REN
Binance,518,Aergo AERGO
Binance,522,Perpetual Protocol PERP
Binance,527,ARPA ARPA
Binance,527,DIA DIA
Binance,531,Litentry LIT
Binance,534,Contentos COS
Binance,538,Komodo KMD
Binance,543,SNS FIDA
Binance,545,FUNToken FUN
Binance,546,Flamingo FLM
Binance,549,Alchemix ALCX
Binance,558,PlayDapp PLA
Binance,560,Ampleforth FORTH
Binance,567,Linear Finance LINA
Binance,568,Wanchain WAN
Binance,576,COMBO COMBO
Binance,584,IDEX IDEX
Binance,589,Travala.com AVA
Binance,590,Gifto GFT
Binance,603,Bella Protocol BEL
Binance,606,Reef REEF
Binance,609,Unifi Protocol UNFI
Binance,610,NULS NULS
Binance,614,Harvest Finance FARM
Binance,616,IRISnet IRIS
Binance,619,Biswap BSW
Binance,623,AirDAO AMB
Binance,625,Keep3r KP3R
Binance,631,QuickSwap QUICK
Binance,632,Streamr DATA
Binance,634,Voxie Tactics VOXEL
Binance,638,Measurable Data Token MDT
Binance,643,Tokocrypto TKO
Binance,649,UniLend UFT
Binance,665,AdEx ADX
Binance,690,dForce DF
Binance,693,Tranchess CHESS
Binance,703,Wing Finance WING
Binance,712,League of Kingdoms LOKA
Binance,724,PIVX PIVX
Binance,735,FIO FIO
Binance,738,Firo FIRO
Binance,741,Alpaca Finance ALPACA
Binance,747,AirSwap / Fluidity AST
Binance,752,VIDT DAO VIDT
Binance,761,Troy TROY
Binance,777,Vite VITE
Binance,791,PowerPool CVP
Binance,794,Kava Lend HARD
Binance,801,Ooki Protocol OOKI
Binance,816,Viberate VIB
Binance,830,BurgerSwap BURGER
Binance,851,Prosper PROS
Binance,881,ForTube FOR
Binance,910,OAX OAX
Binance,933,Dego Finance DEGO
Binance,1512,Akropolis AKRO
Binance,--,BinaryX BNX
Binance,--,NFPrompt NFP
Binance,--,Highstreet HIGH
Binance,--,xMoney UTK
Binance,--,Beefy Finance BIFI
Binance,--,Ellipsis EPX
Coinbase,1,Bitcoin BTC
Coinbase,2,Ethereum ETH
Coinbase,4,Solana SOL
Coinbase,5,Ripple XRP
Coinbase,6,Dogecoin DOGE
Coinbase,8,Cardano ADA
Coinbase,10,Avalanche AVAX
Coinbase,11,Shiba Inu SHIB
Coinbase,12,Polkadot DOT
Coinbase,13,Bitcoin Cash BCH
Coinbase,14,Chainlink LINK
Coinbase,15,NEAR Protocol NEAR
Coinbase,16,Litecoin LTC
Coinbase,17,Polygon MATIC
Coinbase,19,Uniswap UNI
Coinbase,21,Internet Computer / Dfinity ICP
Coinbase,22,Ethereum Classic ETC
Coinbase,24,Stellar XLM
Coinbase,25,Aptos APT
Coinbase,26,Fetch.ai FET
Coinbase,27,Stacks STX
Coinbase,28,MakerDAO MKR
Coinbase,30,Crypto.com CRO
Coinbase,31,Filecoin FIL
Coinbase,33,Hedera HBAR
Coinbase,34,Cosmos ATOM
Coinbase,35,Arbitrum / Offchain Labs ARB
Coinbase,36,Render RENDER
Coinbase,37,Vechain VET
Coinbase,38,Immutable X IMX
Coinbase,40,Injective INJ
Coinbase,41,Optimism OP
Coinbase,42,Aave AAVE
Coinbase,44,Sui SUI
Coinbase,47,The Graph GRT
Coinbase,48,Bonk BONK
Coinbase,52,Lido LDO
Coinbase,52,Jasmy JASMY
Coinbase,58,Celestia TIA
Coinbase,59,Ondo Finance ONDO
Coinbase,62,Core DAO CORE
Coinbase,63,Algorand ALGO
Coinbase,65,Sei Network SEI
Coinbase,66,Flow FLOW
Coinbase,69,Helium HNT
Coinbase,69,Quant QNT
Coinbase,72,MultiversX EGLD
Coinbase,73,Axie Infinity AXS
Coinbase,73,EOS EOS
Coinbase,78,Flare Network FLR
Coinbase,79,Ethereum Name Service ENS
Coinbase,82,Tezos XTZ
Coinbase,83,StarkNet STRK
Coinbase,87,The Sandbox SAND
Coinbase,89,Akash Network AKT
Coinbase,95,AIOZ Network AIOZ
Coinbase,97,Zcash ZEC
Coinbase,98,Decentraland MANA
Coinbase,99,Chiliz CHZ
Coinbase,101,Mina MINA
Coinbase,103,Synthetix SNX
Coinbase,104,Gnosis GNO
Coinbase,105,Gnosis Chain GNO
Coinbase,106,Oasis Network ROSE
Coinbase,108,Safe Safe
Coinbase,111,Otherside APE
Coinbase,118,Compound COMP
Coinbase,119,LayerZero ZRO
Coinbase,121,Livepeer LPT
Coinbase,122,Aerodrome AERO
Coinbase,123,Bored Ape Yacht Club APE
Coinbase,125,Axelar AXL
Coinbase,128,1inch 1INCH
Coinbase,130,Kava KAVA
Coinbase,133,IoTeX IOTX
Coinbase,137,Curve CRV
Coinbase,139,Echelon PRIME
Coinbase,141,Jito JTO
Coinbase,143,Golem GLM
Coinbase,147,Dash DASH
Coinbase,148,STEPN GMT
Coinbase,149,Kusama KSM
Coinbase,151,Convex Finance CVX
Coinbase,154,Blur BLUR
Coinbase,156,Osmosis OSMO
Coinbase,157,Rocket Pool RPL
Coinbase,158,0x ZRX
Coinbase,159,SuperVerse SUPER
Coinbase,160,Celo CELO
Coinbase,165,Ankr ANKR
Coinbase,167,SKALE SKL
Coinbase,169,Brave BAT
Coinbase,171,OriginTrail TRAC
Coinbase,177,Illuvium ILV
Coinbase,179,Metis METIS
Coinbase,183,Arkham ARKM
Coinbase,186,Blast BLAST
Coinbase,190,Threshold T
Coinbase,192,Biconomy BICO
Coinbase,194,Mask Network MASK
Coinbase,203,Goldfinch GFI
Coinbase,206,Yearn Finance YFI
Coinbase,209,UMA UMA
Coinbase,211,Band Protocol BAND
Coinbase,212,Tellor TRB
Coinbase,217,Loopring LRC
Coinbase,220,ZetaChain ZETA
Coinbase,221,SushiSwap SUSHI
Coinbase,223,Hivemapper HONEY
Coinbase,227,Alchemy Pay ACH
Coinbase,229,Flexa AMP
Coinbase,233,ArcBlock ABT
Coinbase,233,Audius AUDIO
Coinbase,235,Vanar VANRY
Coinbase,238,Storj STORJ
Coinbase,240,COTI COTI
Coinbase,243,Horizen ZEN
Coinbase,252,API3 API3
Coinbase,254,Balancer BAL
Coinbase,255,Propy PRO
Coinbase,273,Cartesi CTSI
Coinbase,274,Powerledger POWR
Coinbase,274,LCX LCX
Coinbase,275,Orca ORCA
Coinbase,276,TrueFi TRU
Coinbase,277,Treasure DAO MAGIC
Coinbase,278,Maple Finance MPL
Coinbase,283,Marlin POND
Coinbase,286,iExec RLC
Coinbase,287,Coin98 Finance C98
Coinbase,289,Helium Mobile MOBILE
Coinbase,301,Pundi X PUNDIX
Coinbase,303,Bounce Finance AUCTION
Coinbase,309,Function X FX
Coinbase,320,Celer Network CELR
Coinbase,323,Numerai NMR
Coinbase,325,My Neighbor Alice ALICE
Coinbase,330,Mines of Dalarnia DAR
Coinbase,339,Boba Network BOBA
Coinbase,341,Big Time BIGTIME
Coinbase,345,Abracadabra SPELL
Coinbase,347,Kyber Network KNC
Coinbase,358,Omni Network OMNI
Coinbase,363,DESO DESO
Coinbase,364,XYO XYO
Coinbase,365,Gods Unchained GODS
Coinbase,369,Civic CVC
Coinbase,375,Request Network REQ
Coinbase,376,Synapse SYN
Coinbase,381,Hashflow HFT
Coinbase,385,Aurora AURORA
Coinbase,386,Stargate Finance STG
Coinbase,392,Liquity LQTY
Coinbase,395,Vulcan Forged PYR
Coinbase,396,Forta Network FORT
Coinbase,397,Bluzelle BLZ
Coinbase,398,BENQI QI
Coinbase,402,Drift DRIFT
Coinbase,410,Loot AGLD
Coinbase,415,Shadow SHDW
Coinbase,421,Access Protocol ACS
Coinbase,432,Pangolin PNG
Coinbase,435,Velodrome Finance VELO
Coinbase,437,Radicle RAD
Coinbase,438,Badger DAO BADGER
Coinbase,448,Ribbon Finance RBN
Coinbase,451,NKN NKN
Coinbase,456,Tensor TNSR
Coinbase,461,Origin Protocol OGN
Coinbase,462,SuperRare RARE
Coinbase,464,My Pet Hooligan KARRAT
Coinbase,467,Aavegotchi GHST
Coinbase,470,Pirate Nation PIRATE
Coinbase,474,Elastos ELA
Coinbase,482,StaFi FIS
Coinbase,483,Enzyme MLN
Coinbase,489,DEXTools DEXT
Coinbase,495,Seamless Protocol SEAM
Coinbase,497,Gitcoin GTC
Coinbase,498,CLV CLV
Coinbase,503,Orchid Protocol OXT
Coinbase,504,Lumia ORN
Coinbase,507,Ethernity ERN
Coinbase,518,Aergo AERGO
Coinbase,521,DIMO DIMO
Coinbase,522,Perpetual Protocol PERP
Coinbase,527,ARPA ARPA
Coinbase,527,DIA DIA
Coinbase,531,Litentry LIT
Coinbase,532,MathWallet MATH
Coinbase,543,SNS FIDA
Coinbase,549,Alchemix ALCX
Coinbase,560,Ampleforth FORTH
Coinbase,575,SWFT Blockchain SWFTC
Coinbase,584,IDEX IDEX
Coinbase,586,Marinade Finance MNDE
Coinbase,593,district0x DNT
Coinbase,599,Shapeshift FOX
Coinbase,604,Neon NEON
Coinbase,607,HOPR HOPR
Coinbase,614,Harvest Finance FARM
Coinbase,615,Polkastarter POLS
Coinbase,620,PolySwarm NCT
Coinbase,634,Voxie Tactics VOXEL
Coinbase,635,Ancient8 A8
Coinbase,638,Measurable Data Token MDT
Coinbase,670,Stader SD
Coinbase,679,Rarible RARI
Coinbase,711,Aventus Network AVT
Coinbase,712,League of Kingdoms LOKA
Coinbase,722,Parsiq PRQ
Coinbase,730,Inverse Finance INV
Coinbase,747,AirSwap / Fluidity AST
Coinbase,753,Kryll KRL
Coinbase,757,Vara VARA
Coinbase,760,Cryptex Finance CTX
Coinbase,770,Pluton PLU
Coinbase,793,Chrono.tech TIME
Coinbase,798,Sperax SPA
Coinbase,900,Blocklords LRDS
Coinbase,905,NFT20 MUSE
Coinbase,--,BitDAO BIT
Coinbase,--,Ocean Protocol OCEAN
Coinbase,--,Highstreet HIGH
Coinbase,--,Braintrust BTRST
Coinbase,--,Assemble Protocol ASM
OKX,1,Bitcoin BTC
OKX,2,Ethereum ETH
OKX,3,Binance BNB
OKX,4,Solana SOL
OKX,5,Ripple XRP
OKX,6,Dogecoin DOGE
OKX,7,The Open Network TON
OKX,8,Cardano ADA
OKX,9,Tron TRX
OKX,10,Avalanche AVAX
OKX,11,Shiba Inu SHIB
OKX,12,Polkadot DOT
OKX,13,Bitcoin Cash BCH
OKX,14,Chainlink LINK
OKX,15,NEAR Protocol NEAR
OKX,16,Litecoin LTC
OKX,17,Polygon MATIC
OKX,19,Uniswap UNI
OKX,20,PEPE PEPE
OKX,21,Internet Computer / Dfinity ICP
OKX,22,Ethereum Classic ETC
OKX,24,Stellar XLM
OKX,25,Aptos APT
OKX,26,Fetch.ai FET
OKX,27,Stacks STX
OKX,28,MakerDAO MKR
OKX,29,OKX OKB
OKX,30,Crypto.com CRO
OKX,31,Filecoin FIL
OKX,33,Hedera HBAR
OKX,34,Cosmos ATOM
OKX,35,Arbitrum / Offchain Labs ARB
OKX,36,Render RENDER
OKX,38,Immutable X IMX
OKX,40,Injective INJ
OKX,41,Optimism OP
OKX,42,Aave AAVE
OKX,43,Dogwifhat WIF
OKX,44,Sui SUI
OKX,46,Arweave AR
OKX,47,The Graph GRT
OKX,48,Bonk BONK
OKX,50,FLOKI FLOKI
OKX,52,Lido LDO
OKX,53,Theta Network THETA
OKX,55,Jupiter JUP
OKX,56,Notcoin NOT
OKX,58,Celestia TIA
OKX,60,Fantom FTM
OKX,61,Pyth Network PYTH
OKX,62,Core DAO CORE
OKX,63,Algorand ALGO
OKX,64,MANTRA OM
OKX,66,Flow FLOW
OKX,67,Bitcoin SV BSV
OKX,71,BitTorrent BTT
OKX,72,MultiversX EGLD
OKX,73,Axie Infinity AXS
OKX,73,EOS EOS
OKX,78,Flare Network FLR
OKX,79,Ethereum Name Service ENS
OKX,81,Neo NEO
OKX,82,Tezos XTZ
OKX,83,StarkNet STRK
OKX,84,dYdX DYDX
OKX,86,Gala GALA
OKX,87,The Sandbox SAND
OKX,90,ORDI ORDI
OKX,92,Ronin RON
OKX,93,Conflux CFX
OKX,95,Worldcoin WLD
OKX,98,Decentraland MANA
OKX,99,Chiliz CHZ
OKX,101,Mina MINA
OKX,102,Klaytn KLAY
OKX,103,Synthetix SNX
OKX,104,Raydium RAY
OKX,108,Safe Safe
OKX,109,IOTA MIOTA
OKX,111,Otherside APE
OKX,112,zkSync ZK
OKX,114,Astar ASTR
OKX,118,Compound COMP
OKX,119,LayerZero ZRO
OKX,121,Livepeer LPT
OKX,123,Bored Ape Yacht Club APE
OKX,124,Wormhole W
OKX,126,Terra Classic LUNC
OKX,128,1inch 1INCH
OKX,128,APENFT NFT
OKX,136,Aevo AEVO
OKX,137,Curve CRV
OKX,140,Constitution DAO PEOPLE
OKX,141,Jito JTO
OKX,142,aelf ELF
OKX,143,Golem GLM
OKX,145,Galxe G
OKX,146,WOO Network WOO
OKX,148,STEPN GMT
OKX,149,Kusama KSM
OKX,151,Convex Finance CVX
OKX,152,Terra LUNA
OKX,153,Zilliqa ZIL
OKX,154,Blur BLUR
OKX,155,Memeland MEME
OKX,157,Rocket Pool RPL
OKX,158,0x ZRX
OKX,159,Aethir ATH
OKX,160,Celo CELO
OKX,162,Enjin ENJ
OKX,164,Siacoin SC
OKX,165,JustLend JST
OKX,167,SKALE SKL
OKX,169,Brave BAT
OKX,173,Qtum QTUM
OKX,177,Illuvium ILV
OKX,178,GMX GMX
OKX,179,Metis METIS
OKX,179,Ravencoin RVN
OKX,180,ssv.network SSV
OKX,182,EthereumPoW ETHW
OKX,185,Reserve protocol RSR
OKX,190,Threshold T
OKX,190,Centrifuge CFG
OKX,192,Biconomy BICO
OKX,194,Mask Network MASK
OKX,196,Casper CSPR
OKX,197,Frax FXS
OKX,198,Ether.Fi ETHFI
OKX,204,Chia XCH
OKX,206,Yearn Finance YFI
OKX,208,Venom VENOM
OKX,209,UMA UMA
OKX,211,Band Protocol BAND
OKX,212,Tellor TRB
OKX,213,Harmony ONE
OKX,215,SPACE ID ID
OKX,217,Loopring LRC
OKX,218,Creditcoin CTC
OKX,220,ZetaChain ZETA
OKX,221,SushiSwap SUSHI
OKX,224,Moonbeam GLMR
OKX,226,Baby Doge BabyDoge
OKX,226,Ontology ONT
OKX,227,Alchemy Pay ACH
OKX,238,Storj STORJ
OKX,241,Yield Guild Games YGG
OKX,242,ICON ICX
OKX,248,Kadena KDA
OKX,252,API3 API3
OKX,254,Balancer BAL
OKX,257,Lisk LSK
OKX,261,WAX WAXP
OKX,268,DigiByte DGB
OKX,274,Trader Joe JOE
OKX,277,Treasure DAO MAGIC
OKX,281,Orbs ORBS
OKX,282,BORA BORA
OKX,285,ShibaSwap BONE
OKX,288,Nano XNO
OKX,290,Fusionist ACE
OKX,292,IQ.wiki IQ
OKX,296,Zentry ZENT
OKX,296,Tokenlon LON
OKX,300,IOST IOST
OKX,303,Bounce Finance AUCTION
OKX,307,Merlin Chain MERL
OKX,311,DAO Maker DAO
OKX,312,SLERF SLERF
OKX,320,Celer Network CELR
OKX,323,Numerai NMR
OKX,329,Radiant Capital RDNT
OKX,334,RSS3 RSS3
OKX,335,Status SNT
OKX,341,Big Time BIGTIME
OKX,343,NYM NYM
OKX,346,Dogelon Mars ELON
OKX,347,Kyber Network KNC
OKX,351,Phala Network PHA
OKX,353,PolyHedra ZKJ
OKX,354,Gearbox GEAR
OKX,355,Moonriver MOVR
OKX,365,Gods Unchained GODS
OKX,369,Civic CVC
OKX,370,Dora Factory DORA
OKX,373,Velo VELO
OKX,374,Covalent CXT
OKX,383,Oasys OAS
OKX,392,Liquity LQTY
OKX,393,PlatON LAT
OKX,410,Loot AGLD
OKX,413,Acala ACA
OKX,420,Frontier FRONT
OKX,435,Velodrome Finance VELO
OKX,438,Badger DAO BADGER
OKX,444,DEGEN DEGEN
OKX,445,RACA RACA
OKX,450,Stella ALPHA
OKX,450,pSTAKE Finance PSTAKE
OKX,456,Tensor TNSR
OKX,464,Myria MYRIA
OKX,467,Aavegotchi GHST
OKX,469,Sweatcoin SWEAT
OKX,483,Enzyme MLN
OKX,498,CLV CLV
OKX,503,Orchid Protocol OXT
OKX,507,Ethernity ERN
OKX,511,Cortex CTXC
OKX,515,Ren REN
OKX,517,LooksRare LOOKS
OKX,518,Aergo AERGO
OKX,522,Perpetual Protocol PERP
OKX,523,Ultiverse ULTI
OKX,527,DIA DIA
OKX,544,Guild of Guardians GOG
OKX,546,Flamingo FLM
OKX,549,Alchemix ALCX
OKX,554,Samoyedcoin SAMO
OKX,556,Kishu Inu KISHU
OKX,560,Ampleforth FORTH
OKX,562,OMG Network OMG
OKX,575,SWFT Blockchain SWFTC
OKX,587,Verasity VRA
OKX,590,Gifto GFT
OKX,601,CEEK VR CEEK
OKX,610,NULS NULS
OKX,625,Ice ICE
OKX,625,Keep3r KP3R
OKX,638,Measurable Data Token MDT
OKX,657,Parcl PRCL
OKX,660,Proton XPR
OKX,670,Stader SD
OKX,681,Nine Chronicles WNCG
OKX,691,MXC MXC
OKX,716,Swarm BZZ
OKX,722,Parsiq PRQ
OKX,727,Cetus CETUS
OKX,746,Unite TAKI
OKX,747,AirSwap / Fluidity AST
OKX,763,WiFi Map WIFI
OKX,765,Dmail DMAIL
OKX,788,QnA3.AI GPT
OKX,812,Wirex WXT
OKX,862,Symbiosis Finance SIS
OKX,873,Step App FITFI
OKX,908,Celsius Network CEL
OKX,909,Artyfact ARTY
OKX,948,DappRadar RADAR
OKX,955,Smart Layer SLN
OKX,974,Blockchain Brawlers BRWL
OKX,976,ZeroLend ZERO
OKX,1007,OrbCity ORB
OKX,1009,Augur REP
OKX,1011,REVV Motorsport REVV
OKX,1016,Chingari GARI
OKX,1019,TopGoal GOAL
OKX,1052,Lambda LAMB
OKX,1059,Lithium Finance LITH
OKX,1064,BitKan KAN
OKX,1079,BlockGames BLOCK
OKX,1083,Vela Exchange VELA
OKX,1087,Lybra Finance LBR
OKX,1145,Convergence CONV
OKX,1146,BoringDAO BORING
OKX,1185,Suiswap SSWP
OKX,1216,Kine Protocol KINE
OKX,1320,apM Coin APM
OKX,--,Zeus Network ZEUS
OKX,--,Bloktopia BLOK
OKX,--,UXLINK UXLINK
OKX,--,OKX Chain OKT
OKX,--,Zebec Protocol ZBCN
OKX,--,Foxy FOXY
OKX,--,Realio Network RIO
OKX,--,Avive AVIVE
OKX,--,Runecoin RSIC
OKX,--,xMoney UTK
OKX,--,XRADERS XR
OKX,--,Meson Network MSN
OKX,--,Thetan Arena THG
OKX,--,Omega Network OMN
HTX,1,Bitcoin BTC
HTX,2,Ethereum ETH
HTX,3,Binance BNB
HTX,4,Solana SOL
HTX,5,Ripple XRP
HTX,6,Dogecoin DOGE
HTX,7,The Open Network TON
HTX,8,Cardano ADA
HTX,9,Tron TRX
HTX,10,Avalanche AVAX
HTX,11,Shiba Inu SHIB
HTX,12,Polkadot DOT
HTX,13,Bitcoin Cash BCH
HTX,14,Chainlink LINK
