Status,Name,Category,Location,Founded,Latest Investment,Round (1 Year),Portfolio,Total Raised
Active,Bing Ventures,Crypto Projects Venture,Singapore,2021,"Jun 11, 2024",11,24,--
Active,Superscrypt,Crypto-Native Fund,Singapore,--,"Jun 04, 2024",11,31,--
Active,Stratified Capital,Crypto-Native Fund,Singapore,--,"May 29, 2024",11,27,--
Active,Breed VC,Crypto-Native Fund,United States,2023,"May 29, 2024",11,14,$20 M
Active,Jump Crypto,Crypto-Native Fund,United States,2021,"May 29, 2024",11,91,--
Active,Infinity Ventures Crypto,Crypto-Native Fund,Taiwan,2021,"May 28, 2024",11,132,$70 M
Active,Basics Capital,Crypto-Native Fund,--,2021,"May 20, 2024",11,64,--
Active,Marshland Capital,Crypto-Native Fund,Britain,2020,"May 19, 2024",11,21,--
Active,CoinFund,Crypto-Native Fund,United States,2015,"May 15, 2024",11,110,$383 M
Active,M-Ventures,Crypto Projects Venture,--,2021,"Apr 03, 2024",11,84,$100 M
Active,L2 Iterative Ventures,Crypto-Native Fund,--,--,"Jul 19, 2024",10,25,--
Active,Summer Capital,Traditional Fund,Hong Kong,2017,"Jul 16, 2024",10,19,--
Active,Sui,- -,"Taiwan, United States",2022,"Jul 11, 2024",10,19,--
Active,Outlier Ventures,Crypto-Native Fund,--,2014,"Jul 10, 2024",10,124,--
Active,Castle Island,Crypto-Native Fund,United States,2018,"Jul 02, 2024",10,61,$250 M
Active,Mantle Network,- -,Singapore,2022,"Jul 02, 2024",10,11,--
Active,Founders fund,Traditional Fund,--,2005,"Jul 02, 2024",10,31,--
Active,Dext Force Ventures,Crypto Projects Venture,Spain,2020,"Jun 27, 2024",10,15,--
Active,Saison Capital,Traditional Enterprises,Singapore,--,"Jun 27, 2024",10,26,--
Active,Kahuna,Crypto-Native Fund,--,--,"Jun 14, 2024",10,10,--
Active,Caladan,- -,- -,2017,"Jun 13, 2024",10,23,--
Active,Spirit DAO,- -,- -,2022,"Jun 13, 2024",10,10,--
Active,Cryptogram Venture,Crypto-Native Fund,Japan,--,"Jun 12, 2024",10,19,--
Active,Cryptogram Venture,Crypto-Native Fund,Japan,--,"Jun 12, 2024",10,19,--
Active,Candaq Fintech Group,Traditional Fund,Germany,2019,"Jun 06, 2024",10,22,--
Active,ViaBTC Capital,Crypto Projects Venture,"Chinese Mainland, Singapore",2021,"May 30, 2024",10,24,--
Active,LK Venture,Crypto-Native Fund,Chinese Mainland,2018,"May 29, 2024",10,64,--
Active,Absoluta Digital,Crypto-Native Fund,--,--,"May 19, 2024",10,17,--
Active,Collab+Currency,Crypto-Native Fund,United States,2018,"Apr 23, 2024",10,113,$60 M
Active,Spark Digital Capital,Crypto-Native Fund,--,2018,"Apr 02, 2024",10,156,--
Active,North Island Ventures,Crypto-Native Fund,United States,2019,"Mar 07, 2024",10,30,$125 M
Active,Optic Capital,Crypto-Native Fund,--,--,"Jul 19, 2024",9,9,--
Active,New Form Capital,Traditional Fund,United States,2019,"Jul 18, 2024",9,21,--
Active,Kenetic Capital,Crypto-Native Fund,--,2016,"Jul 02, 2024",9,83,--
Active,Canonical Crypto,Crypto-Native Fund,--,--,"Jul 02, 2024",9,22,--
Active,DACM,Crypto-Native Fund,Australia,2017,"Jun 20, 2024",9,21,--
Active,BH Digital,Traditional Enterprises,--,2021,"Jun 18, 2024",9,35,--
Active,X21 Digital,Crypto-Native Fund,--,2018,"Jun 07, 2024",9,123,--
Active,Quantstamp,- -,United States,--,"Jun 05, 2024",9,24,--
Active,Stake Capital,Crypto-Native Fund,--,2016,"Jun 04, 2024",9,19,--
Active,Breyer Capital,Traditional Fund,--,2006,"May 30, 2024",9,19,--
Active,Formless Capital,Crypto-Native Fund,--,2021,"May 23, 2024",9,43,--
Active,Solana Ventures,Crypto Projects Venture,--,2021,"May 07, 2024",9,116,--
Active,Kyros Ventures,Crypto-Native Fund,Vietnam,--,"May 03, 2024",9,75,--
Active,IOBC Capital,Crypto-Native Fund,"Hong Kong, United States, Singapore",2021,"Apr 17, 2024",9,21,$50 M
Active,KuCoin Labs,Crypto Projects Venture,--,2018,"Apr 02, 2024",9,55,$50 M
Active,RockawayX,Crypto-Native Fund,Czecho,2018,"Jul 09, 2024",8,26,--
Active,Primal Capital,Crypto-Native Fund,--,2021,"Jul 04, 2024",8,11,--
Active,Protagonist,Crypto-Native Fund,--,2022,"Jul 02, 2024",8,12,$100 M
Active,Franklin Templeton,Traditional Enterprises,--,--,"Jul 02, 2024",8,25,--
Active,Kronos Research,- -,Taiwan,2018,"Jul 01, 2024",8,29,--
Active,IoTeX,- -,United States,2017,"Jul 01, 2024",8,13,--
Active,Hercules Ventures,Crypto-Native Fund,--,2023,"Jun 27, 2024",8,16,--
Active,BlackDragon,- -,- -,2017,"Jun 27, 2024",8,21,--
Active,K300 Ventures,Crypto-Native Fund,Vietnam,2019,"Jun 27, 2024",8,15,--
Active,Alumni Ventures,Crypto-Native Fund,United States,2013,"Jun 23, 2024",8,33,--
Active,Base Ecosystem Fund,Crypto Projects Venture,--,2023,"Jun 21, 2024",8,9,--
Active,CatcherVC,Crypto-Native Fund,"Hong Kong, Singapore",2018,"Jun 20, 2024",8,64,--
Active,Gains Associates,- -,- -,2018,"Jun 19, 2024",8,30,--
Active,7upDAO,- -,Chinese Mainland,2022,"Jun 13, 2024",8,11,--
Active,Lattice Capital,Crypto-Native Fund,United States,2021,"Jun 12, 2024",8,61,$60 M
Active,Tioga Capital,Crypto-Native Fund,--,--,"Jun 12, 2024",8,20,--
Active,cyber Fund,Crypto-Native Fund,--,--,"Jun 11, 2024",8,30,--
Active,Everstake Capital,Crypto-Native Fund,--,2018,"Jun 10, 2024",8,12,--
Active,Aza Ventures,Crypto-Native Fund,--,2021,"Jun 06, 2024",8,11,--
Active,Gate Ventures,Crypto Projects Venture,--,2021,"Jun 05, 2024",8,48,$100 M
Active,A.Capital,Crypto-Native Fund,United States,2014,"May 23, 2024",8,62,--
Active,Paper Ventures,Crypto-Native Fund,--,2023,"May 09, 2024",8,9,$25 M
Active,Edessa Capital,Crypto-Native Fund,--,--,"May 09, 2024",8,17,--
Active,Veris Ventures,Crypto-Native Fund,Switzerland,2022,"May 03, 2024",8,10,--
Active,Public Works,Crypto-Native Fund,--,--,"May 01, 2024",8,9,--
Active,Andromeda Capital,Crypto-Native Fund,--,--,"May 01, 2024",8,17,--
Active,AlfaDAO,- -,- -,2021,"Apr 26, 2024",8,9,--
Active,Rana Capital,Crypto-Native Fund,--,--,"Apr 23, 2024",8,13,--
Active,C² Ventures,Crypto-Native Fund,"Chinese Mainland, Singapore",--,"Mar 21, 2024",8,39,$100 M
Active,Crypto.com Capital,Crypto Projects Venture,Hong Kong,2021,"Jul 19, 2024",7,54,$500 M
Active,Asymmetric,Crypto-Native Fund,United States,2022,"Jul 18, 2024",7,15,--
Active,White Star Capital,Traditional Fund,--,2014,"Jul 15, 2024",7,29,--
Active,Ethereal Ventures,Crypto-Native Fund,--,2021,"Jul 09, 2024",7,49,--
Active,Interop,Crypto-Native Fund,--,--,"Jul 05, 2024",7,9,$3.85 M
Active,Punk DAO,- -,- -,2022,"Jul 03, 2024",7,12,--
Active,Generative Ventures,Crypto-Native Fund,Chinese Mainland,2023,"Jul 02, 2024",7,7,--
Active,IDG Capital,Traditional Fund,Chinese Mainland,1992,"Jul 02, 2024",7,35,--
Active,Tangent,Crypto-Native Fund,"Hong Kong, Singapore",2022,"Jul 02, 2024",7,9,--
Active,ByteTrade,- -,Singapore,2018,"Jul 01, 2024",7,22,--
Active,FutureMoney,Crypto-Native Fund,Chinese Mainland,2017,"Jul 01, 2024",7,20,--
Active,Haun Ventures,Crypto-Native Fund,--,2021,"Jun 25, 2024",7,23,$1.5 B
Active,Citizen X,Crypto-Native Fund,United States,2021,"Jun 25, 2024",7,19,--
Active,Coinvestor Ventures,Crypto-Native Fund,Turkey,2019,"Jun 19, 2024",7,7,--
Active,Sanctor Capital,Traditional Fund,--,2021,"Jun 18, 2024",7,32,$30 M
Active,2 Punks Capital,Crypto-Native Fund,--,2021,"Jun 12, 2024",7,11,--
Active,Asteroid capital,Crypto-Native Fund,--,--,"Jun 12, 2024",7,9,--
Active,Blockchange Ventures,Crypto-Native Fund,--,2017,"Jun 12, 2024",7,51,--
Active,Blockchain Builders Fund,Crypto-Native Fund,--,2023,"Jun 10, 2024",7,10,--
Active,Lightspeed Venture,Traditional Fund,United States,2000,"Jun 10, 2024",7,54,--
Active,Wormhole,- -,United States,2020,"Jun 06, 2024",7,8,--
Active,RW3 Ventures,Crypto-Native Fund,--,2021,"Jun 04, 2024",7,20,--
Active,Gemhead Capital,Crypto-Native Fund,--,--,"Jun 04, 2024",7,15,--
Active,Union Square Ventures,Traditional Fund,United States,2003,"May 30, 2024",7,35,--
Active,FunFair Ventures,Crypto Projects Venture,Britain,2022,"May 29, 2024",7,12,--
Active,Zentry,- -,Thailand,2021,"May 29, 2024",7,30,--
Active,Agnostic Fund,Traditional Fund,--,2013,"May 22, 2024",7,9,--
Active,Zee Prime Capital,Crypto-Native Fund,--,2019,"May 22, 2024",7,76,--
Active,Red Beard Ventures,Crypto-Native Fund,--,2020,"May 22, 2024",7,36,--
Active,SEED THRIFT VENTURES,Crypto-Native Fund,--,--,"May 20, 2024",7,7,--
Active,Duckdao,- -,- -,2020,"May 20, 2024",7,32,--
Active,Psalion VC,Crypto-Native Fund,--,--,"May 17, 2024",7,9,--
Active,JDI Global,- -,- -,2022,"May 09, 2024",7,8,--
Active,Draper Associates,Traditional Fund,United States,1985,"Apr 26, 2024",7,35,--
Active,GameFi Ventures,Crypto-Native Fund,--,--,"Apr 24, 2024",7,15,--
Active,Distributed Global,Crypto-Native Fund,United States,2017,"Apr 23, 2024",7,59,--
Active,Rubik Ventures,Crypto-Native Fund,--,--,"Apr 17, 2024",7,10,--
Active,Citizen Capital,Crypto-Native Fund,--,--,"Apr 04, 2024",7,7,--
Active,DoraHacks,- -,"Chinese Mainland, Singapore",2014,"Apr 01, 2024",7,17,--
Active,Kestrel0x1,Crypto-Native Fund,Britain,--,"Mar 27, 2024",7,10,--
Active,GeekCartel,- -,- -,2021,"Mar 26, 2024",7,18,--
Active,GenBlock Capital,Crypto-Native Fund,United States,2017,"Mar 22, 2024",7,151,--
Active,WAGMi Ventures,Crypto-Native Fund,Chinese Mainland,--,"Mar 21, 2024",7,20,--
Active,MZ Web3 Fund,Crypto-Native Fund,Japan,--,"Mar 11, 2024",7,17,--
Active,Solana Foundation,Crypto Projects Venture,--,--,"Jul 16, 2024",6,20,--
Active,Find Satoshi Lab,- -,- -,2021,"Jul 16, 2024",6,9,--
Active,Galaxy Interactive,Crypto Projects Venture,United States,2021,"Jul 12, 2024",6,42,$325 M
Active,Chainlink,- -,- -,2017,"Jul 10, 2024",6,8,--
Active,Galileo,Crypto-Native Fund,--,--,"Jul 09, 2024",6,11,--
Active,Sky9 Capital,Traditional Fund,Chinese Mainland,2016,"Jul 04, 2024",6,36,--
Active,Cluster Capital,Crypto-Native Fund,--,--,"Jul 02, 2024",6,22,--
Active,Fourth Revolution Capital,Crypto-Native Fund,United States,2020,"Jul 02, 2024",6,27,--
Active,Samara Asset Group,- -,Germany,2018,"Jul 02, 2024",6,12,--
Active,Normie Capital,Crypto-Native Fund,--,--,"Jun 27, 2024",6,7,--
Active,Avalanche Foundation,- -,- -,--,"Jun 25, 2024",6,22,--
Active,Arche Fund,Crypto-Native Fund,--,2020,"Jun 20, 2024",6,40,--
Active,LIF,Crypto-Native Fund,"Chinese Mainland, Singapore",2022,"Jun 12, 2024",6,17,--
Active,Greenfield Capital,Crypto-Native Fund,Germany,2018,"Jun 12, 2024",6,44,$160 M
Active,ZBS capital,Crypto-Native Fund,--,2017,"Jun 10, 2024",6,75,--
Active,Tether,- -,- -,2014,"Jun 05, 2024",6,9,--
Active,Standard Crypto,Crypto-Native Fund,--,--,"Jun 05, 2024",6,42,--
Active,Arweave,- -,Germany,2017,"Jun 04, 2024",6,24,--
Active,Banter Capital,Traditional Fund,--,--,"May 31, 2024",6,24,--
Active,Synergis Capital,Traditional Fund,Canada,--,"May 30, 2024",6,26,$50 M
Active,Planetarium Labs,- -,Korea,--,"May 28, 2024",6,11,--
Active,Reciprocal Ventures,Crypto-Native Fund,United States,2016,"May 28, 2024",6,21,--
Active,partyhatDAO,- -,- -,--,"May 23, 2024",6,6,--
Active,Pragma Ventures,Crypto-Native Fund,Korea,--,"May 20, 2024",6,12,--
Active,Blocore,Traditional Fund,Korea,--,"May 08, 2024",6,23,--
Active,Polymorphic Capital,Crypto-Native Fund,--,2021,"May 03, 2024",6,20,--
Active,Semantic Ventures,Crypto-Native Fund,Britain,2017,"Apr 30, 2024",6,27,--
Active,MARBLEX,- -,- -,--,"Apr 25, 2024",6,7,--
Active,Arcane Group,Crypto-Native Fund,Singapore,2022,"Apr 24, 2024",6,28,--
Active,Devmons,Crypto-Native Fund,--,--,"Apr 22, 2024",6,8,--
Active,Safe,- -,- -,2018,"Apr 18, 2024",6,9,--
Active,PHD Capital,Crypto-Native Fund,--,2022,"Apr 12, 2024",6,7,--
