Rank,Name,Price,Market Cap,FDV,Ecosystem,Exchange
11,Shiba Inu SHIB,$0.000014,$8.27 B,$8.27 B,Ethereum,"Binance, Coinbase, OKX, HTX, Bitget, Bybit, Upbit, KuCoin, Kraken, Bitstamp, Bitfinex, MEXC, Crypto.com, Gate.io, BitMEX, Uniswap, OpenOcean, XT.COM, Deepcoin, LATOKEN, LBank, BingX, BitMart, WhiteBIT, Phemex, AscendEX, Toolbit, Coinone, Bitrue, Poloniex, Currency.com, Coinstore, Tokocrypto, Bitvavo, Bitso, FameEX, BIGONE, Bilaxy, CoinEx, HitBTC, BTSE"
12,Polkadot DOT,$4.94,$7.3 B,$7.3 B,,"Binance, Coinbase, OKX, HTX, Bitget, Bybit, Upbit, KuCoin, Kraken, Bitstamp, Bitfinex, MEXC, Crypto.com, Gate.io, BitMEX, PancakeSwap, Osmosis, XT.COM, Deepcoin, LATOKEN, LBank, BingX, BitMart, WhiteBIT, Phemex, AscendEX, Toolbit, Coinone, Bitrue, Poloniex, Bitkub, Bitbank, Coinstore, Tokocrypto, Zaif, Bitvavo, Bitso, HashKeyExchange, Coinlist, Bullish, FameEX, BIGONE, Bilaxy, CoinEx, HitBTC, BTSE"
13,Bitcoin Cash BCH,$360.34,$7.11 B,$7.56 B,,"Binance, Coinbase, OKX, HTX, Bitget, Bybit, Upbit, KuCoin, Kraken, Bitstamp, Bitfinex, MEXC, Crypto.com, Gate.io, BitMEX, XT.COM, Deepcoin, LATOKEN, LBank, BingX, BitMart, WhiteBIT, Phemex, AscendEX, Toolbit, Coinone, Bitrue, Poloniex, Bitkub, Bitbank, Currency.com, Tokocrypto, Zaif, Bitvavo, Bitso, Bullish, FameEX, BIGONE, CoinEx, HitBTC, BTSE"
14,Chainlink LINK,$11.54,$7.02 B,$11.54 B,"Ethereum, Polygon, BNB Chain, Avalanche, Arbitrum, Optimism, Base, StarkNet, ZkSync, Fantom, Scroll, Celo, Harmony, Metis, Polygon zkEVM, Moonbeam, Zilliqa","Binance, Coinbase, OKX, HTX, Bitget, Bybit, Upbit, KuCoin, Kraken, Bitstamp, Bitfinex, MEXC, Crypto.com, Gate.io, BitMEX, Uniswap, QuickSwap, TraderJoe, SushiSwap, OpenOcean, XT.COM, Deepcoin, LATOKEN, LBank, BingX, BitMart, WhiteBIT, Phemex, AscendEX, Toolbit, Coinone, Bitrue, Poloniex, Bitkub, Bitbank, Currency.com, Coinstore, Tokocrypto, Bitvavo, Bitso, HashKeyExchange, Coinlist, Bullish, FameEX, BIGONE, Bilaxy, CoinEx, HitBTC, BTSE"
15,NEAR Protocol NEAR,$4.35,$4.82 B,$5.24 B,,"Binance, Coinbase, OKX, HTX, Bitget, Bybit, Upbit, KuCoin, Kraken, Bitstamp, Bitfinex, MEXC, Crypto.com, Gate.io, BitMEX, XT.COM, Deepcoin, LATOKEN, LBank, BingX, BitMart, WhiteBIT, Phemex, AscendEX, Toolbit, Coinone, Bitrue, Poloniex, Bitkub, Tokocrypto, Bitvavo, Bitso, Bullish, FameEX, CoinEx, HitBTC, BTSE"
16,Litecoin LTC,$63.4,$4.74 B,$5.32 B,,"Binance, Coinbase, OKX, HTX, Bitget, Bybit, KuCoin, Kraken, Bitstamp, Bitfinex, MEXC, Crypto.com, Gate.io, BitMEX, PancakeSwap, XT.COM, Deepcoin, LATOKEN, LBank, BingX, BitMart, WhiteBIT, Phemex, AscendEX, Toolbit, Bitrue, Poloniex, Bitbank, Currency.com, Tokocrypto, Bitvavo, Bitso, HashKeyExchange, Bullish, FameEX, BIGONE, Bilaxy, CoinEx, HitBTC, BTSE"
17,Kaspa KAS,$0.1829,$4.45 B,$4.45 B,,
18,Polygon MATIC,$0.4497,$4.45 B,$4.49 B,Ethereum,
19,Uniswap UNI,$6.44,$3.86 B,$6.44 B,"Ethereum, Polygon, BNB Chain, Avalanche, Arbitrum, Optimism, ZkSync, Zora, Moonbeam, Blast, Scroll, (soon), Polygon zkEVM, (soon)","Binance, Coinbase, OKX, HTX, Bitget, Bybit, Upbit, KuCoin, Kraken, Bitstamp, Bitfinex, MEXC, Crypto.com, Gate.io, BitMEX, Uniswap, Raydium, SushiSwap, OpenOcean, XT.COM, Deepcoin, LATOKEN, LBank, BingX, BitMart, WhiteBIT, Phemex, AscendEX, Toolbit, Coinone, Bitrue, Poloniex, Bitkub, Currency.com, Coinstore, Tokocrypto, Bitvavo, Bitso, HashKeyExchange, Coinlist, Bullish, FameEX, BIGONE, Bilaxy, CoinEx, HitBTC, BTSE"
20,PEPE PEPE,$0.0000085,$3.61 B,$3.61 B,Ethereum,"Binance, OKX, HTX, Bitget, Bybit, KuCoin, Kraken, Bitstamp, Bitfinex, MEXC, Crypto.com, Gate.io, BitMEX, Uniswap, XT.COM, Deepcoin, LBank, BingX, BitMart, WhiteBIT, Phemex, AscendEX, Toolbit, Coinone, Bitrue, Poloniex, Tokocrypto, Bitvavo, Bitso, BIGONE, CoinEx, HitBTC, BTSE"
21,Internet Computer / Dfinity ICP,$7.65,$3.57 B,$3.99 B,,"Binance, Coinbase, OKX, HTX, Bitget, Bybit, KuCoin, Kraken, Bitstamp, Bitfinex, MEXC, Crypto.com, Gate.io, XT.COM, Deepcoin, LATOKEN, LBank, BingX, BitMart, WhiteBIT, Phemex, Toolbit, Coinone, Bitrue, Poloniex, Coinstore, Tokocrypto, Bitvavo, Coinlist, BIGONE, CoinEx, HitBTC"
22,Ethereum Classic ETC,$19.63,$2.9 B,$4.13 B,,"Binance, Coinbase, OKX, HTX, Bitget, Bybit, Upbit, KuCoin, Kraken, Bitfinex, MEXC, Crypto.com, Gate.io, Uniswap, XT.COM, Deepcoin, LATOKEN, LBank, BingX, BitMart, WhiteBIT, Phemex, AscendEX, Toolbit, Coinone, Bitrue, Poloniex, Currency.com, Tokocrypto, Bitvavo, FameEX, BIGONE, CoinEx, HitBTC"
23,Monero XMR,$152.37,$2.81 B,$2.81 B,,"Binance, HTX, Bybit, KuCoin, Kraken, Bitfinex, MEXC, Gate.io, XT.COM, BitMart, WhiteBIT, AscendEX, Toolbit, Bitrue, Poloniex, BIGONE, CoinEx, HitBTC, BTSE"
24,Stellar XLM,$0.092,$2.71 B,$4.61 B,,"Binance, Coinbase, OKX, HTX, Bitget, Bybit, Upbit, KuCoin, Kraken, Bitstamp, Bitfinex, MEXC, Crypto.com, Gate.io, XT.COM, LATOKEN, LBank, BingX, BitMart, WhiteBIT, Phemex, AscendEX, Toolbit, Coinone, Bitrue, Poloniex, Bitkub, Bitbank, Tokocrypto, Bitvavo, Bitso, Bullish, FameEX, BIGONE, CoinEx, HitBTC"
25,Aptos APT,$5.59,$2.62 B,$6.2 B,,"Binance, Coinbase, OKX, HTX, Bitget, Bybit, Upbit, KuCoin, Kraken, Bitfinex, MEXC, Crypto.com, Gate.io, BitMEX, XT.COM, Deepcoin, LBank, BingX, BitMart, WhiteBIT, Phemex, AscendEX, Toolbit, Coinone, Bitrue, Poloniex, Tokocrypto, Bitvavo, HashKeyExchange, Bullish, BIGONE, Bilaxy, CoinEx, HitBTC, BTSE"
26,Fetch.ai FET,$0.9997,$2.51 B,$2.62 B,,"Binance, Coinbase, OKX, HTX, Bitget, Bybit, KuCoin, Kraken, Bitstamp, Bitfinex, MEXC, Crypto.com, Gate.io, Uniswap, Osmosis, OpenOcean, Deepcoin, LATOKEN, LBank, BingX, BitMart, WhiteBIT, Phemex, AscendEX, Toolbit, Coinone, Bitrue, Poloniex, Tokocrypto, Bitvavo, FameEX, CoinEx, HitBTC, BTSE"
27,OKX OKB,$37.91,$2.27 B,$11.37 B,,"Gate.io, Uniswap, LATOKEN, LBank, BingX, BitMart, Bitrue, Poloniex, CoinEx, HitBTC"
28,Crypto.com CRO,$0.082,$2.18 B,$2.46 B,,"Osmosis, XT.COM"
29,MakerDAO MKR,"$2,341.61",$2.17 B,$2.35 B,Ethereum,"Bitget, Bybit, Upbit, KuCoin, Kraken, Bitstamp, Bitfinex, MEXC, Uniswap, SushiSwap, XT.COM, Deepcoin, LATOKEN, LBank, BingX, BitMart, WhiteBIT, Phemex, AscendEX, Toolbit, Coinone, Bitrue, Poloniex, Bitkub, Bitbank, Currency.com, Coinstore, Tokocrypto, Bitvavo"
30,Stacks STX,$1.46,$2.17 B,$2.67 B,,XT.COM
31,Filecoin FIL,$3.68,$2.12 B,$7.23 B,,"Binance, Coinbase, OKX, HTX, Bitget, Bybit, Upbit, KuCoin, Kraken, Bitfinex, MEXC, Crypto.com, Gate.io, BitMEX, Uniswap, PancakeSwap, XT.COM, Deepcoin, LBank, BingX, BitMart, WhiteBIT, Phemex, AscendEX, Toolbit, Coinone, Bitrue, Tokocrypto, Bitvavo, Coinlist, FameEX, BIGONE, Bilaxy, CoinEx, HitBTC, BTSE"
32,Mantle Network MNT,$0.6421,$2.09 B,$3.99 B,Ethereum,"HTX, Bybit, Upbit, KuCoin, Kraken, MEXC, Gate.io, Uniswap, XT.COM, BingX, BitMart, Coinone, Bitrue, FameEX, CoinEx"
33,Hedera HBAR,$0.056,$2.03 B,$2.84 B,,"Binance, Coinbase, OKX, HTX, Bitget, Bybit, Upbit, KuCoin, Kraken, Bitstamp, MEXC, Crypto.com, Gate.io, XT.COM, LATOKEN, LBank, BingX, BitMart, WhiteBIT, Phemex, Toolbit, Coinone, Bitrue, Bitkub, Tokocrypto, Bitvavo, CoinEx, HitBTC"
34,Arbitrum / Offchain Labs ARB,$0.5953,$1.98 B,$5.95 B,Ethereum,"Crypto.com, Gate.io, BitMEX, Uniswap, Osmosis, TraderJoe, SushiSwap, OpenOcean, XT.COM, Deepcoin, LBank, BingX, BitMart, WhiteBIT, Phemex, AscendEX, Toolbit, Coinone, Bitrue, Poloniex, Bitkub, Bitbank, Tokocrypto, Bitvavo, Bitso, Bullish, FameEX, BIGONE, Bilaxy, CoinEx, HitBTC, BTSE"
35,Cosmos ATOM,$5.08,$1.98 B,$1.98 B,,"Crypto.com, Gate.io, BitMEX, Uniswap, PancakeSwap, Osmosis, Astroport, XT.COM, Deepcoin, LATOKEN, LBank, BingX, BitMart, WhiteBIT, Phemex, AscendEX, Toolbit, Coinone, Bitrue, Poloniex, Bitkub, Tokocrypto, Bitvavo, Bitso, HashKeyExchange, Bullish, FameEX, BIGONE, Bilaxy, CoinEx, HitBTC, BTSE"
36,Render RENDER,$4.85,$1.9 B,$2.58 B,"Ethereum, Polygon, Solana","Binance, Coinbase, OKX, HTX, Bitget, Bybit, Upbit, KuCoin, Kraken, Bitstamp, MEXC, Gate.io, Uniswap, Raydium, Orca, Jupiter, Deepcoin, LATOKEN, LBank, BitMart, AscendEX, Coinone, Poloniex, Bitkub, Bitbank, Tokocrypto, Bitvavo, HashKeyExchange, FameEX, CoinEx"
37,Vechain VET,$0.023,$1.88 B,$2.03 B,,"Binance, Coinbase, HTX, Bitget, Upbit, KuCoin, Bitfinex, MEXC, Crypto.com, Gate.io, XT.COM, LATOKEN, LBank, BingX, BitMart, WhiteBIT, AscendEX, Coinone, Bitrue, Tokocrypto, Bitvavo, FameEX, BIGONE, CoinEx, HitBTC"
38,Immutable X IMX,$1.2,$1.85 B,$2.41 B,Ethereum,"Binance, Coinbase, OKX, HTX, Bitget, Bybit, Upbit, KuCoin, Kraken, Bitstamp, MEXC, Crypto.com, Gate.io, OpenOcean, XT.COM, Deepcoin, LATOKEN, LBank, BingX, BitMart, WhiteBIT, Phemex, AscendEX, Toolbit, Coinone, Bitrue, Poloniex, Bitkub, Bitbank, Tokocrypto, Bitvavo, Coinlist, FameEX, CoinEx, HitBTC, BTSE"
39,Bittensor TAO,$252.27,$1.8 B,$5.29 B,Polkadot,"Binance, Bitget, Bybit, KuCoin, Kraken, MEXC, Crypto.com, Gate.io, XT.COM, LBank, BingX, BitMart, WhiteBIT, Phemex, Toolbit, Bitrue, Tokocrypto, CoinEx"
40,Injective INJ,$18.38,$1.78 B,$1.87 B,Cosmos,"Binance, Coinbase, OKX, HTX, Bitget, Bybit, Upbit, KuCoin, Kraken, Bitfinex, MEXC, Crypto.com, Gate.io, Osmosis, XT.COM, Deepcoin, LATOKEN, LBank, BingX, BitMart, WhiteBIT, Phemex, AscendEX, Toolbit, Bitrue, Bitkub, Tokocrypto, Bitvavo, CoinEx, BTSE"
41,Optimism OP,$1.41,$1.68 B,$6.08 B,Ethereum,"Binance, Coinbase, OKX, HTX, Bitget, Bybit, KuCoin, Kraken, Bitfinex, MEXC, Crypto.com, Gate.io, BitMEX, Uniswap, XT.COM, Deepcoin, LATOKEN, LBank, BingX, BitMart, WhiteBIT, Phemex, AscendEX, Toolbit, Coinone, Bitrue, Poloniex, Bitkub, Bitbank, Tokocrypto, Bitvavo, HashKeyExchange, Bullish, FameEX, BIGONE, Bilaxy, CoinEx, HitBTC, BTSE"
42,Aave AAVE,$110.25,$1.64 B,$1.76 B,"Ethereum, Polygon, Avalanche, Arbitrum, Fantom, Gnosis Chain, Harmony, Aztec, Metis, ZkSync, (soon), Scroll, (soon)","Binance, Coinbase, OKX, HTX, Bitget, Bybit, Upbit, KuCoin, Kraken, Bitstamp, Bitfinex, MEXC, Crypto.com, Gate.io, Uniswap, QuickSwap, SushiSwap, XT.COM, Deepcoin, LATOKEN, LBank, BingX, BitMart, WhiteBIT, Phemex, AscendEX, Toolbit, Coinone, Bitrue, Poloniex, Bitkub, Currency.com, Coinstore, Tokocrypto, Bitvavo, Bitso, HashKeyExchange, Coinlist, Bullish, FameEX, BIGONE, CoinEx, HitBTC, BTSE"
43,Sui SUI,$0.613,$1.59 B,$6.13 B,,"BitMEX, XT.COM, Phemex, AscendEX, Toolbit, Coinone, Bitrue, Poloniex, Tokocrypto, Bitvavo, Coinlist, BIGONE, CoinEx, BTSE"
44,Zeebu ZBU,$4.79,$1.58 B,$23.98 B,,
45,Dogwifhat WIF,$1.57,$1.57 B,$1.57 B,Solana,
46,Arweave AR,$22.87,$1.5 B,$1.5 B,,"Binance, OKX, HTX, Bitget, Bybit, KuCoin, Kraken, MEXC, Crypto.com, Gate.io, XT.COM, Deepcoin, LBank, BingX, BitMart, WhiteBIT, Phemex, Toolbit, Bitrue, Tokocrypto, Bitvavo, BIGONE, CoinEx, HitBTC"
47,The Graph GRT,$0.1538,$1.46 B,$1.66 B,"Ethereum, Polygon, BNB Chain, Solana, Avalanche, Arbitrum, Optimism, Base, StarkNet, Near, Fantom, Gnosis Chain, Celo, SKALE, Harmony, Metis, Fuse, IoTeX, Klaytn, Evmos, Moonriver, Moonbeam, Meter, Swimmer Network, DFK Chain, Taiko, (soon)","Binance, Coinbase, OKX, HTX, Bitget, Bybit, Upbit, KuCoin, Kraken, Bitstamp, Bitfinex, MEXC, Crypto.com, Gate.io, XT.COM, LATOKEN, LBank, BingX, BitMart, WhiteBIT, Phemex, AscendEX, Toolbit, Coinone, Bitrue, Poloniex, Bitkub, Bitbank, Currency.com, Tokocrypto, Bitvavo, Bitso, Bullish, FameEX, Bilaxy, CoinEx, HitBTC, BTSE"
48,Bonk BONK,$0.00002,$1.42 B,$1.91 B,Solana,"Binance, Coinbase, OKX, HTX, Bitget, Bybit, KuCoin, Kraken, Bitstamp, Bitfinex, MEXC, Crypto.com, Gate.io, BitMEX, Uniswap, Raydium, Orca, Jupiter, SushiSwap, XT.COM, LATOKEN, LBank, BingX, BitMart, WhiteBIT, Toolbit, Coinone, Bitrue, Poloniex, Coinstore, Tokocrypto, Bitvavo, FameEX, BIGONE, CoinEx, HitBTC, BTSE"
49,Bitget BGB,$1.01,$1.42 B,$2.03 B,,"Bitget, MEXC"
50,FLOKI FLOKI,$0.00013,$1.25 B,$1.27 B,,"Binance, OKX, HTX, Bitget, Bybit, KuCoin, Kraken, Bitstamp, Bitfinex, MEXC, Crypto.com, Gate.io, OpenOcean, XT.COM, Deepcoin, LATOKEN, LBank, BingX, BitMart, WhiteBIT, Phemex, AscendEX, Toolbit, Bitrue, Poloniex, Tokocrypto, Bitvavo, FameEX, BIGONE, CoinEx, HitBTC, BTSE"
51,Theta Network THETA,$1.19,$1.19 B,$1.19 B,,"XT.COM, LBank, BingX, BitMart, WhiteBIT, Phemex, Toolbit, Bitrue, Tokocrypto, Bitvavo, CoinEx, HitBTC"
52,THORChain RUNE,$3.48,$1.17 B,$1.44 B,,"Phemex, AscendEX, Toolbit, Bitrue, Poloniex, Tokocrypto, Bitvavo, CoinEx, HitBTC, BTSE"
52,Jasmy JASMY,$0.023,$1.14 B,$1.16 B,,"Binance, Coinbase, HTX, Bitget, Bybit, KuCoin, Kraken, Bitfinex, MEXC, Crypto.com, Gate.io, Uniswap, XT.COM, LATOKEN, LBank, BingX, BitMart, WhiteBIT, Phemex, AscendEX, Toolbit, Bitrue, Tokocrypto, Bitvavo, FameEX, CoinEx, HitBTC"
53,Lido LDO,$1.3,$1.16 B,$1.3 B,"Ethereum, Polygon, Arbitrum, Optimism, Base, Linea, Polkadot, Kusama, Moonbeam","Crypto.com, Gate.io, Deepcoin, LATOKEN, LBank, BingX, BitMart, WhiteBIT, Phemex, AscendEX, Toolbit, Bitrue, Poloniex, Bitkub, Currency.com, Tokocrypto, Bitvavo, Bitso, HashKeyExchange, FameEX, BIGONE, Bilaxy, CoinEx, HitBTC, BTSE"
55,Jupiter JUP,$0.8351,$1.12 B,$8.35 B,Solana,"Binance, OKX, HTX, Bitget, Bybit, Upbit, KuCoin, Kraken, Bitstamp, Bitfinex, MEXC, Crypto.com, Gate.io, BitMEX, Raydium, Orca, Jupiter, XT.COM, Deepcoin, LBank, BingX, BitMart, WhiteBIT, Phemex, AscendEX, Toolbit, Coinone, Bitrue, Poloniex, Tokocrypto, Bitvavo, FameEX, CoinEx, BTSE"
56,Notcoin NOT,$0.01,$1.11 B,$1.11 B,TON,"Binance, OKX, Bitget, Bybit, KuCoin, Kraken, Bitfinex, MEXC, Crypto.com, Gate.io, BitMEX, XT.COM, Deepcoin, LBank, BingX, BitMart, WhiteBIT, Phemex, AscendEX, Toolbit, Bitrue, Tokocrypto, Bitvavo, CoinEx, HitBTC"
57,Cheelee CHEEL,$20.53,$1.1 B,$20.53 B,,"Gate.io, XT.COM, LBank, BitMart"
58,Celestia TIA,$5.18,$1.04 B,$5.7 B,Cosmos,"Binance, Coinbase, OKX, HTX, Bitget, Bybit, KuCoin, Kraken, Bitfinex, MEXC, Crypto.com, Gate.io, Osmosis, XT.COM, LBank, BingX, BitMart, WhiteBIT, Phemex, AscendEX, Bitrue, Bitkub, Tokocrypto, Bitvavo, FameEX, CoinEx, HitBTC, BTSE"
59,Pyth Network PYTH,$0.2837,$1.02 B,$2.83 B,"Ethereum, BNB Chain, Solana, Arbitrum, Optimism, Base, ZkSync, Linea, Aptos, Ronin, Sei Network, Stacks, Blast, Injective, Mantle, Filecoin EVM, Monad, (soon)",
60,Ondo Finance ONDO,$0.7388,$1.02 B,$7.38 B,"Ethereum, Polygon, Aptos, Sui, Injective, Mantle","Bitget, Bybit, Upbit, KuCoin, Kraken, Bitstamp, MEXC"
61,Fantom FTM,$0.3592,$1 B,$1.14 B,,"BitMEX, Uniswap, SushiSwap, XT.COM, Deepcoin, LATOKEN, LBank, BingX, BitMart, WhiteBIT, Phemex, AscendEX, Toolbit, Coinone, Bitrue, Poloniex, Bitkub, Currency.com, Coinstore, Tokocrypto, Bitvavo, Bitso, Bullish, FameEX, BIGONE, Bilaxy, CoinEx, HitBTC, BTSE"
62,Core DAO CORE,$1.07,$971.47 M,$2.26 B,Bitcoin,"Coinbase, OKX, HTX, Bitget, Bybit, MEXC, Gate.io, XT.COM, Deepcoin, LBank, BingX, BitMart, Phemex, Coinone, Bitrue, Poloniex, HitBTC"
63,Algorand ALGO,$0.118,$971.11 M,$1.18 B,,"Binance, Coinbase, OKX, HTX, Bitget, Bybit, Upbit, KuCoin, Kraken, Bitstamp, Bitfinex, MEXC, Crypto.com, Gate.io, XT.COM, LATOKEN, LBank, BingX, BitMart, WhiteBIT, Phemex, AscendEX, Toolbit, Coinone, Bitrue, Bitkub, Coinstore, Tokocrypto, Bitvavo, Bitso, Coinlist, BIGONE, CoinEx, HitBTC, BTSE"
64,MANTRA OM,$1.05,$882.69 M,$937.55 M,,"Binance, OKX, Bitget, Bybit, KuCoin, MEXC, Gate.io, Uniswap, XT.COM, LATOKEN, LBank, BingX, BitMart, WhiteBIT, Phemex, AscendEX, Toolbit, Bitrue, Poloniex, Tokocrypto, Bitvavo, CoinEx, BTSE"
65,Sei Network SEI,$0.2673,$848.68 M,$2.67 B,,"Binance, Coinbase, HTX, Bitget, Bybit, Upbit, KuCoin, Kraken, Bitfinex, MEXC, Phemex, Toolbit, Coinone, Bitrue, Tokocrypto, Bitvavo, Coinlist, CoinEx, HitBTC, BTSE"
66,KuCoin KCS,$8.83,$843.91 M,$1.5 B,,
67,Flow FLOW,$0.5532,$842.69 M,$842.69 M,,
67,Bitcoin SV BSV,$42.13,$831.69 M,$831.69 M,,"Binance, OKX, HTX, Bitget, Bybit, Upbit, KuCoin, MEXC, Gate.io, XT.COM, LBank, BingX, BitMart, AscendEX, Toolbit, Coinone, Bitrue, Poloniex, CoinEx, HitBTC"
69,Quant QNT,$63.88,$771.22 M,$950.64 M,,"Binance, Coinbase, Bitget, Bybit, KuCoin, Kraken, MEXC, Crypto.com, Gate.io, Uniswap, XT.COM, LATOKEN, LBank, BingX, BitMart, WhiteBIT, Phemex, AscendEX, Bitrue, Bitkub, Currency.com, Tokocrypto, Bitvavo, Bitso, FameEX, Bilaxy, CoinEx, HitBTC"
70,BitTorrent BTT,$0.00000079,$766.57 M,$783.8 M,BNB Chain,"CoinEx, HitBTC"
71,Helium HNT,$4.5,$756.32 M,$1.03 B,Solana,CoinEx
72,Axie Infinity AXS,$5.05,$750.15 M,$1.36 B,Ethereum,
73,EOS EOS,$0.491,$739.21 M,$1.03 B,,"Binance, Coinbase, OKX, HTX, Bitget, Bybit, Upbit, KuCoin, Kraken, Bitfinex, MEXC, Crypto.com, Gate.io, BitMEX, PancakeSwap, XT.COM, Deepcoin, LATOKEN, LBank, BingX, BitMart, WhiteBIT, Phemex, AscendEX, Toolbit, Coinone, Bitrue, Poloniex, Tokocrypto, Bitvavo, Bullish, BIGONE, CoinEx, HitBTC, BTSE"
73,MultiversX EGLD,$27.41,$747.22 M,$760.9 M,,"FameEX, Bilaxy, CoinEx, HitBTC, BTSE"
74,Tokenize Xchange TKX,$9.26,$741.03 M,$948.75 M,,MEXC
77,Fastex FTN,$2.34,$713.43 M,$2.34 B,,FameEX
