Name,Tag,Ecology,Hyperlink
PACMOONPAC,Social、Meme,Blast,https://www.rootdata.com/Projects/detail/PACMOON?k=MTMzNzY%3D
CatsXWar,Gaming,TON,https://www.rootdata.com/Projects/detail/CatsXWar?k=MTMzNzU%3D
Aigisos,Infra、Parallel EVM,Dymension,https://www.rootdata.com/Projects/detail/Aigisos?k=MTMzNzQ%3D
Qubit,Gaming,None,https://www.rootdata.com/Projects/detail/Qubit?k=MTMzNzM%3D
Fiamma,Infra、zk,Bitcoin,https://www.rootdata.com/Projects/detail/Fiamma?k=MTMzNzE%3D
Primis Protocol,Gaming、LSD,None,https://www.rootdata.com/Projects/detail/Primis%20Protocol?k=MTMzNzA%3D
Hawa,Gaming、Card Games,Ethereum,https://www.rootdata.com/Projects/detail/Hawa?k=MTMzNjg%3D
Jax Finance,DeFi、Lending,Taiko,https://www.rootdata.com/Projects/detail/Jax%20Finance?k=MTMzNjc%3D
Neuphoria,Gaming,None,https://www.rootdata.com/Projects/detail/Neuphoria?k=MTMzNjY%3D
ScorePlay,Gaming、Ball Games,Base,https://www.rootdata.com/Projects/detail/ScorePlay?k=MTMzNjU%3D
bullishs,Gaming,Vizing,https://www.rootdata.com/Projects/detail/bullishs?k=MTMzNjQ%3D
Immortality AI,DeSci,Solana,https://www.rootdata.com/Projects/detail/Immortality%20AI?k=MTMzNjM%3D
IvyNet,DeFi、Restaking,None,https://www.rootdata.com/Projects/detail/IvyNet?k=MTMzNjI%3D
For The Kingdom,Gaming,None,https://www.rootdata.com/Projects/detail/For%20The%20Kingdom?k=MTMzNjE%3D
Nekodex,DeFi、DEX,Optimism,https://www.rootdata.com/Projects/detail/Nekodex?k=MTMzNjA%3D
Rosen Bridge,DeFi、Cross-chain Bridge,None,https://www.rootdata.com/Projects/detail/Rosen%20Bridge?k=MTMzNTk%3D
Capybara,DeFi、DEX、Launchpad,Klaytn,https://www.rootdata.com/Projects/detail/Capybara?k=MTMzNTg%3D
Gatto Game,Gaming,TON,https://www.rootdata.com/Projects/detail/Gatto%20Game?k=MTMzNTc%3D
The Vault,DeFi、LSD,Solana,https://www.rootdata.com/Projects/detail/The%20Vault?k=MTMzNTY%3D
Zone Nine,Gaming,None,https://www.rootdata.com/Projects/detail/Zone%20Nine?k=MTMzNTU%3D
PumpBTC,DeFi、LSD,None,https://www.rootdata.com/Projects/detail/PumpBTC?k=MTMzNTI%3D
Datai Network,Tools、Data & Analysis,None,https://www.rootdata.com/Projects/detail/Datai%20Network%20?k=MTMzNTE%3D
TonGifts,Social、Tools,None,https://www.rootdata.com/Projects/detail/TonGifts?k=MTMzNTA%3D
Stream,Creator Economy,None,https://www.rootdata.com/Projects/detail/Stream?k=MTMzNDg%3D
Winee3WNE,Social、Ticketing,"Ethereum, BNB Chain",https://www.rootdata.com/Projects/detail/Winee3?k=MTMzNDc%3D
Gloo,Social、Creator Economy,None,https://www.rootdata.com/Projects/detail/Gloo?k=MTMzNDY%3D
Hana Finance,DeFi、Lending,Taiko,https://www.rootdata.com/Projects/detail/Hana%20Finance?k=MTMzNDU%3D
Kodo Exchange,DeFi、DEX,Taiko,https://www.rootdata.com/Projects/detail/Kodo%20Exchange?k=MTMzNDQ%3D
Capy Finance,DeFi、Runes、Yield optimizer,B² Network,https://www.rootdata.com/Projects/detail/Capy%20Finance?k=MTMzNDE%3D
3Jane,DeFi、Restaking、Derivatives,"Bitcoin, Ethereum",https://www.rootdata.com/Projects/detail/3Jane?k=MTMzNDA%3D
NetLink Protocol,DePIN、Cloud Computing,Base,https://www.rootdata.com/Projects/detail/NetLink%20Protocol?k=MTMzMzg%3D
WorldLand,Infra、Layer2,Ethereum,https://www.rootdata.com/Projects/detail/WorldLand?k=MTMzMzc%3D
Loop,DeFi、Lending,Ethereum,https://www.rootdata.com/Projects/detail/Loop?k=MTMzMzU%3D
UDAOUDAO,Recruitment Solutions,Polygon,https://www.rootdata.com/Projects/detail/UDAO?k=MTMzMzQ%3D
APRO,Infra、Oracle,"Merlin Chain, Bitlayer",https://www.rootdata.com/Projects/detail/APRO?k=MTMzMzI%3D
Lighthouse,Tools、Asset Dashboards,None,https://www.rootdata.com/Projects/detail/Lighthouse?k=MTMzMzE%3D
OpenLedger,Infra、AI,None,https://www.rootdata.com/Projects/detail/OpenLedger?k=MTMzMjg%3D
Sentient,Infra、AI,Polygon,https://www.rootdata.com/Projects/detail/Sentient?k=MTMzMjc%3D
Prodia,Infra、Cloud Computing,None,https://www.rootdata.com/Projects/detail/Prodia?k=MTMzMjY%3D
Uomi,Infra、Layer1、AI,None,https://www.rootdata.com/Projects/detail/Uomi?k=MTMzMjU%3D
edgeX,DeFi、Derivatives、Perp,None,https://www.rootdata.com/Projects/detail/edgeX?k=MTMzMjQ%3D
Depinsim,Infra、DePIN,TON,https://www.rootdata.com/Projects/detail/Depinsim?k=MTMzMjM%3D
PLYR,Gaming、Game Platforms,Avalanche,https://www.rootdata.com/Projects/detail/PLYR?k=MTMzMjI%3D
Highlayer,Infra、Layer2,Bitcoin,https://www.rootdata.com/Projects/detail/Highlayer?k=MTMzMjE%3D
MonkeyBit,Gaming、Game Platforms,Polygon,https://www.rootdata.com/Projects/detail/MonkeyBit?k=MTMzMTk%3D
Breakout,CeFi、Market Makers,None,https://www.rootdata.com/Projects/detail/Breakout?k=MTMzMTg%3D
Soland,DeFi,Solana,https://www.rootdata.com/Projects/detail/Soland?k=MTMzMTc%3D
CrossX,Infra、Gaming Solutions、Layer3,None,https://www.rootdata.com/Projects/detail/CrossX?k=MTMzMTQ%3D
Beracana,DeFi、Lending,Berachain,https://www.rootdata.com/Projects/detail/Beracana?k=MTMzMTM%3D
SEND,Tools,None,https://www.rootdata.com/Projects/detail/SEND?k=MTMzMTI%3D
Mamori,MEV、Security Solutions,None,https://www.rootdata.com/Projects/detail/Mamori?k=MTMzMTE%3D
Nubila Network,Infra、Oracle、DePIN,None,https://www.rootdata.com/Projects/detail/Nubila%20Network?k=MTMzMTA%3D
Compute Labs,Infra、Cloud Computing、AI,None,https://www.rootdata.com/Projects/detail/Compute%20Labs?k=MTMzMDk%3D
Ethos Network,Social、Reputation System、Profiles,None,https://www.rootdata.com/Projects/detail/Ethos%20Network?k=MTMzMDc%3D
Kasplex,Infra、Dev Platform,None,https://www.rootdata.com/Projects/detail/Kasplex?k=MTMzMDU%3D
SportPointPOINT,Sports Fitness,BNB Chain,https://www.rootdata.com/Projects/detail/SportPoint?k=MTMzMDM%3D
Abstract,Infra、Layer2,None,https://www.rootdata.com/Projects/detail/Abstract?k=MTMzMDI%3D
Tomarket,DeFi、Derivatives、RWA,None,https://www.rootdata.com/Projects/detail/Tomarket?k=MTMzMDE%3D
Dunes,DeFi、Restaking、LSD,Ethereum,https://www.rootdata.com/Projects/detail/Dunes?k=MTMzMDA%3D
Nomial,Infra、Layer1、Modular,None,https://www.rootdata.com/Projects/detail/Nomial?k=MTMyOTk%3D
TAOevm,Infra、Layer2、Altchain EVM,Bittensor,https://www.rootdata.com/Projects/detail/TAOevm?k=MTMyOTY%3D
LineHub,DeFi、DEX、Derivatives,Linea,https://www.rootdata.com/Projects/detail/LineHub?k=MTMyOTU%3D
Degencast,Social,Base,https://www.rootdata.com/Projects/detail/Degencast?k=MTMyOTQ%3D
2PM Network,Infra、Cloud Computing、AI,None,https://www.rootdata.com/Projects/detail/2PM%20Network?k=MTMyOTI%3D
GriffinAI Network,AI Agents、AI,None,https://www.rootdata.com/Projects/detail/GriffinAI%20Network?k=MTMyODg%3D
Title Protocol,RWA、Real Estate,None,https://www.rootdata.com/Projects/detail/Title%20Protocol?k=MTMyODc%3D
NITI,DeFi、Derivatives、Synthetic Assets,Bitcoin,https://www.rootdata.com/Projects/detail/NITI?k=MTMyODU%3D
Redacted,Entertainment,None,https://www.rootdata.com/Projects/detail/Redacted?k=MTMyODQ%3D
XProtocol,Infra、Modular、Entertainment,None,https://www.rootdata.com/Projects/detail/XProtocol?k=MTMyODM%3D
BNB Attestation Service,Infra,BNB Chain,https://www.rootdata.com/Projects/detail/BNB%20Attestation%20Service?k=MTMyODA%3D
Lunchbreak,Social、SocialFi,Base,https://www.rootdata.com/Projects/detail/Lunchbreak?k=MTMyNzY%3D
StarkSwirl,zk、Privacy,StarkNet,https://www.rootdata.com/Projects/detail/StarkSwirl?k=MTMyNzU%3D
Propeller,Social、Community Platform,None,https://www.rootdata.com/Projects/detail/Propeller?k=MTMyNzQ%3D
Fractal,Infra、Layer2,Bitcoin,https://www.rootdata.com/Projects/detail/Fractal?k=MTMyNzM%3D
BullNow,DeFi、DEX,Sui,https://www.rootdata.com/Projects/detail/BullNow?k=MTMyNzA%3D
ProtoKOLs,Tools、Marketing Solutions,None,https://www.rootdata.com/Projects/detail/ProtoKOLs?k=MTMyNjk%3D
Pandiana,Meme,Solana,https://www.rootdata.com/Projects/detail/Pandiana?k=MTMyNjg%3D
Opacity Network,Infra、zk,None,https://www.rootdata.com/Projects/detail/Opacity%20Network?k=MTMyNjU%3D
Gryphsis Academy,Crypto Education,None,https://www.rootdata.com/Projects/detail/Gryphsis%20Academy?k=MTMyNjM%3D
ROVR,Infra、DePIN,None,https://www.rootdata.com/Projects/detail/ROVR?k=MTMyNjE%3D
Lango,Gaming,"Ethereum, TON",https://www.rootdata.com/Projects/detail/Lango?k=MTMyNTk%3D
Aydo,IOT、DePIN,None,https://www.rootdata.com/Projects/detail/Aydo?k=MTMyNTc%3D
Persona,Social、Infra、Wallet,None,https://www.rootdata.com/Projects/detail/Persona?k=MTMyNTY%3D
ShogAI,Infra、AI,None,https://www.rootdata.com/Projects/detail/ShogAI?k=MTMyNTU%3D
Planck,Infra、Cloud Computing、AI,None,https://www.rootdata.com/Projects/detail/Planck?k=MTMyNTM%3D
iRA Blocks,RWA、Real Estate,None,https://www.rootdata.com/Projects/detail/iRA%20Blocks?k=MTMyNTI%3D
GameBuildGAME,Infra、Gaming Solutions,Ethereum,https://www.rootdata.com/Projects/detail/GameBuild?k=MTMyNTA%3D
o.bot,AI Agents、AI,Aptos,https://www.rootdata.com/Projects/detail/o.bot?k=MTMyNDg%3D
NevaNEVA,Infra、Layer2,Ethereum,https://www.rootdata.com/Projects/detail/Neva?k=MTMyNDc%3D
Monea,Infra、Modular,None,https://www.rootdata.com/Projects/detail/Monea?k=MTMyNDY%3D
Chainsight,Infra、Oracle,"Ethereum, Polygon, Avalanche",https://www.rootdata.com/Projects/detail/Chainsight?k=MTMyNDQ%3D
tbook,Marketing Solutions,None,https://www.rootdata.com/Projects/detail/tbook?k=MTMyNDM%3D
Bubbly,DeFi、DEX,None,https://www.rootdata.com/Projects/detail/Bubbly?k=MTMyNDI%3D
Epoch Island,DAO、Digital Country/City,None,https://www.rootdata.com/Projects/detail/Epoch%20Island?k=MTMyNDE%3D
Blueberry Ring,DePIN、Medical health、Lifestyle App,None,https://www.rootdata.com/Projects/detail/Blueberry%20Ring?k=MTMyNDA%3D
XEONXEON,DeFi、Derivatives、OTC,None,https://www.rootdata.com/Projects/detail/XEON?k=MTMyMzQ%3D
Pivotal,Infra、Layer2、DePIN,None,https://www.rootdata.com/Projects/detail/Pivotal?k=MTMyMzM%3D
Provably,Infra、zk,None,https://www.rootdata.com/Projects/detail/Provably?k=MTMyMzI%3D
Holdium,Meme,Solana,https://www.rootdata.com/Projects/detail/Holdium?k=MTMyMzE%3D
SilentBerry,RGB、Creator Economy、Music,None,https://www.rootdata.com/Projects/detail/SilentBerry?k=MTMyMzA%3D
Universal,DeFi、Interoperability,None,https://www.rootdata.com/Projects/detail/Universal?k=MTMyMjk%3D
Brollups,Infra、Layer2,Bitcoin,https://www.rootdata.com/Projects/detail/Brollups?k=MTMyMjc%3D
Endorse,Tools,Base,https://www.rootdata.com/Projects/detail/Endorse?k=MTMyMjM%3D
Circuit,DeFi、DEX,None,https://www.rootdata.com/Projects/detail/Circuit?k=MTMyMjI%3D
Bibobibo,Social、Meme,None,https://www.rootdata.com/Projects/detail/Bibobibo?k=MTMyMjE%3D
dTRINITY,DeFi、Lending,Fraxtal,https://www.rootdata.com/Projects/detail/dTRINITY?k=MTMyMjA%3D
Cero Network,Infra,"Ethereum, Polygon, Avalanche",https://www.rootdata.com/Projects/detail/Cero%20Network?k=MTMyMTk%3D
chaindrop,Infra,None,https://www.rootdata.com/Projects/detail/chaindrop?k=MTMyMTc%3D
Skillful AI,AI,None,https://www.rootdata.com/Projects/detail/Skillful%20AI?k=MTMyMTY%3D
Bahne AI,Infra、Cloud Computing,TON,https://www.rootdata.com/Projects/detail/Bahne%20AI?k=MTMyMTQ%3D
Apocryph,Infra,None,https://www.rootdata.com/Projects/detail/Apocryph?k=MTMyMTM%3D
Suzaku,DeFi、Restaking,None,https://www.rootdata.com/Projects/detail/Suzaku?k=MTMyMTI%3D
Theo,DeFi、Derivatives,None,https://www.rootdata.com/Projects/detail/Theo?k=MTMyMTE%3D
SphereX,DeFi、DEX,Blast,https://www.rootdata.com/Projects/detail/SphereX?k=MTMyMTA%3D
Zero Network,Infra、Layer2,Ethereum,https://www.rootdata.com/Projects/detail/Zero%20Network?k=MTMyMDk%3D
Yoyo,Creator Economy,Base,https://www.rootdata.com/Projects/detail/Yoyo?k=MTMyMDc%3D
Garden,DeFi,Bitcoin,https://www.rootdata.com/Projects/detail/Garden?k=MTMyMDY%3D
CheeseChain,Infra、Layer3,"Solana, Arbitrum",https://www.rootdata.com/Projects/detail/CheeseChain?k=MTMyMDU%3D
Silver Koi,DeFi、Derivatives、RWA、Perp,None,https://www.rootdata.com/Projects/detail/Silver%20Koi?k=MTMyMDQ%3D
Isle Finance,DeFi、Lending、RWA,None,https://www.rootdata.com/Projects/detail/Isle%20Finance?k=MTMyMDM%3D
Haraka,DeFi、Lending、Credit Lending,None,https://www.rootdata.com/Projects/detail/Haraka?k=MTMyMDI%3D
Credible,DeFi、Lending、RWA,None,https://www.rootdata.com/Projects/detail/Credible?k=MTMyMDE%3D
Cork Protocol,DeFi,None,https://www.rootdata.com/Projects/detail/Cork%20Protocol?k=MTMxOTk%3D
Flap,Launchpad,"BNB Chain, Base, Monad",https://www.rootdata.com/Projects/detail/Flap?k=MTMxOTg%3D
Farworld,Gaming、Game Platforms、Gaming Solutions,None,https://www.rootdata.com/Projects/detail/Farworld?k=MTMxOTc%3D
Allstake,DeFi、Restaking、LSD,"Bitcoin, Ethereum, Polygon",https://www.rootdata.com/Projects/detail/Allstake?k=MTMxOTY%3D
Outstrip,DeFi、Asset Management,None,https://www.rootdata.com/Projects/detail/Outstrip?k=MTMxOTU%3D
Plaza Finance,DeFi、Derivatives,None,https://www.rootdata.com/Projects/detail/Plaza%20Finance?k=MTMxOTQ%3D
Bit2,Infra、Layer2,Bitcoin,https://www.rootdata.com/Projects/detail/Bit2?k=MTMxOTM%3D
Anduro,Infra、Layer2,Bitcoin,https://www.rootdata.com/Projects/detail/Anduro?k=MTMxOTE%3D
Nanon Network,Infra、Layer2、Gaming Solutions,None,https://www.rootdata.com/Projects/detail/Nanon%20Network?k=MTMxOTA%3D
AskJimmy,DeFi、AI Agents、 Onchain Fund、AI,None,https://www.rootdata.com/Projects/detail/AskJimmy?k=MTMxODg%3D
Tau Finance,DeFi、Compliance Solutions,None,https://www.rootdata.com/Projects/detail/Tau%20Finance?k=MTMxODc%3D
OpenSeason,Gaming、Shooting Games,Arbitrum,https://www.rootdata.com/Projects/detail/OpenSeason?k=MTMxODU%3D
Swapsats,Runes、NFT、NFT marketplace,Bitcoin,https://www.rootdata.com/Projects/detail/Swapsats?k=MTMxODQ%3D
Dricity,Infra、Cloud Computing、AI,None,https://www.rootdata.com/Projects/detail/Dricity?k=MTMxODI%3D
Stateless,Infra,None,https://www.rootdata.com/Projects/detail/Stateless?k=MTMxODA%3D
Valence,Infra、Interoperability,Cosmos,https://www.rootdata.com/Projects/detail/Valence?k=MTMxNzg%3D
FaFaFa,DeFi,TON,https://www.rootdata.com/Projects/detail/FaFaFa?k=MTMxNzY%3D
time.fun,Social、Time Market,Base,https://www.rootdata.com/Projects/detail/time.fun?k=MTMxNzU%3D
Honeyflow Finance,DeFi、OTC,Berachain,https://www.rootdata.com/Projects/detail/Honeyflow%20Finance?k=MTMxNzA%3D
RollDex,DeFi、Derivatives、Perp,Bitcoin,https://www.rootdata.com/Projects/detail/RollDex?k=MTMxNjk%3D
RuneHero,Gaming,None,https://www.rootdata.com/Projects/detail/RuneHero?k=MTMxNjY%3D
TimeFarm,Gaming,None,https://www.rootdata.com/Projects/detail/TimeFarm?k=MTMxNjU%3D
BindowsXP,Runes、Ordinals,Bitcoin,https://www.rootdata.com/Projects/detail/BindowsXP?k=MTMxNjQ%3D
MemeMaker,Social、Meme,Base,https://www.rootdata.com/Projects/detail/MemeMaker?k=MTMxNjM%3D
Sonaric Network,Infra、Cloud Computing,None,https://www.rootdata.com/Projects/detail/Sonaric%20Network?k=MTMxNjI%3D
Moonberg AI,Tools、AI,None,https://www.rootdata.com/Projects/detail/Moonberg%20AI?k=MTMxNjE%3D
QuantcheckQTK,Tools、Trading robot,None,https://www.rootdata.com/Projects/detail/Quantcheck?k=MTMxNjA%3D
Freee,NFT、NFT solutions,"Bitcoin, Ethereum, Arbitrum",https://www.rootdata.com/Projects/detail/Freee?k=MTMxNTg%3D
.blast domains,Infra、DID、Name Service,Blast,https://www.rootdata.com/Projects/detail/.blast%20domains?k=MTMxNTc%3D
Runelink,Runes、Metaverse,Bitcoin,https://www.rootdata.com/Projects/detail/Runelink?k=MTMxNTY%3D
Rebar Labs,Infra、Node Service,None,https://www.rootdata.com/Projects/detail/Rebar%20Labs?k=MTMxNTU%3D
B3,Gaming,Base,https://www.rootdata.com/Projects/detail/B3?k=MTMxNTQ%3D
Apollo ID,Infra、Wallet、Marketing Solutions,None,https://www.rootdata.com/Projects/detail/Apollo%20ID?k=MTMxNTM%3D
TapBase,NFT,Base,https://www.rootdata.com/Projects/detail/TapBase?k=MTMxNTE%3D
HorusLayerHRX,DeFi、AI,BNB Chain,https://www.rootdata.com/Projects/detail/HorusLayer?k=MTMxNDg%3D
UbitExUB,CeFi、CEX,None,https://www.rootdata.com/Projects/detail/UbitEx?k=MTMxNDc%3D
SOLSTORM,DeFi、Launchpad,Solana,https://www.rootdata.com/Projects/detail/SOLSTORM?k=MTMxNDY%3D
NURI Exchange,DeFi、DEX,Scroll,https://www.rootdata.com/Projects/detail/NURI%20Exchange?k=MTMxNDM%3D
EON,Infra、Cloud Computing、AI,None,https://www.rootdata.com/Projects/detail/EON?k=MTMxNDE%3D
Lombard,DeFi、Yield optimizer,Babylon,https://www.rootdata.com/Projects/detail/Lombard?k=MTMxNDA%3D
Quantum Cloak,Infra、Layer1,None,https://www.rootdata.com/Projects/detail/Quantum%20Cloak?k=MTMxMzk%3D
DUNE404,NFT,Base,https://www.rootdata.com/Projects/detail/DUNE404?k=MTMxMzg%3D
Tapos,Gaming,Aptos,https://www.rootdata.com/Projects/detail/Tapos?k=MTMxMzc%3D
NX Finance,DeFi、Leveraged Yield Farming,Solana,https://www.rootdata.com/Projects/detail/NX%20Finance?k=MTMxMzQ%3D
Riot,Gaming、Gambling Games,Solana,https://www.rootdata.com/Projects/detail/Riot?k=MTMxMzM%3D
WonderBits,Gaming,Base,https://www.rootdata.com/Projects/detail/WonderBits?k=MTMxMzI%3D
Form Network,Infra、Social、Layer2,None,https://www.rootdata.com/Projects/detail/Form%20Network?k=MTMxMzE%3D
Glider,DeFi、DEX、Intent,None,https://www.rootdata.com/Projects/detail/Glider?k=MTMxMzA%3D
Atemu,Gaming、Card Games,StarkNet,https://www.rootdata.com/Projects/detail/Atemu?k=MTMxMjk%3D
Datalayer,Infra、Layer1,None,https://www.rootdata.com/Projects/detail/Datalayer?k=MTMxMjg%3D
Reppo Network,Infra、Reputation System、DePIN,None,https://www.rootdata.com/Projects/detail/Reppo%20Network?k=MTMxMjc%3D
SCEPTRE,DeFi、LSD,Flare Network,https://www.rootdata.com/Projects/detail/SCEPTRE?k=MTMxMjY%3D
Pluto.Vision,Infra、Gaming Solutions,None,https://www.rootdata.com/Projects/detail/Pluto.Vision?k=MTMxMjU%3D
TonBit,Security Solutions、Security Audit,TON,https://www.rootdata.com/Projects/detail/TonBit?k=MTMxMjQ%3D
Zion Bets,Gaming、Racing Games,Aptos,https://www.rootdata.com/Projects/detail/Zion%20Bets?k=MTMxMTk%3D
AssetLinkASET,DeFi、RWA,None,https://www.rootdata.com/Projects/detail/AssetLink?k=MTMxMTg%3D
Nuffle Labs,Infra,None,https://www.rootdata.com/Projects/detail/Nuffle%20Labs?k=MTMxMTc%3D
Qiro Finance,DeFi、Lending、Credit Lending,None,https://www.rootdata.com/Projects/detail/Qiro%20Finance?k=MTMxMTY%3D
JUNEO,Infra,None,https://www.rootdata.com/Projects/detail/JUNEO?k=MTMxMTU%3D
Searchpad,Creator Economy,None,https://www.rootdata.com/Projects/detail/Searchpad?k=MTMxMTI%3D
iApro,AI Agents、AI,None,https://www.rootdata.com/Projects/detail/iApro?k=MTMxMTA%3D
MasterPop,Gaming,None,https://www.rootdata.com/Projects/detail/MasterPop?k=MTMxMDk%3D
KcPay,Infra、Payments,None,https://www.rootdata.com/Projects/detail/KcPay?k=MTMxMDg%3D
AON,Infra、Cloud Computing、AI,None,https://www.rootdata.com/Projects/detail/AON?k=MTMxMDU%3D
LayerXTITAN,Runes、Gaming,Bitlayer,https://www.rootdata.com/Projects/detail/LayerX?k=MTMxMDQ%3D
R GamesRGAME,Gaming、Racing Games,"BNB Chain, Solana",https://www.rootdata.com/Projects/detail/R%20Games?k=MTMxMDM%3D
Gamety,Runes、Gaming、Game Platforms,"Bitcoin, TON",https://www.rootdata.com/Projects/detail/Gamety?k=MTMxMDI%3D
Cortex,Tools,None,https://www.rootdata.com/Projects/detail/Cortex?k=MTMxMDE%3D
GlueX Protocol,DeFi、Intent,None,https://www.rootdata.com/Projects/detail/GlueX%20Protocol?k=MTMxMDA%3D
Ambush,Tools、AI,None,https://www.rootdata.com/Projects/detail/Ambush?k=MTMwOTk%3D
PINK,Meme,Taiko,https://www.rootdata.com/Projects/detail/PINK?k=MTMwOTg%3D
codatta,Infra、AI、Data Market,None,https://www.rootdata.com/Projects/detail/codatta?k=MTMwOTc%3D
Mandala Chain,Infra、Enterprise Blockchain、Polkadot Parachain,Polkadot,https://www.rootdata.com/Projects/detail/Mandala%20Chain?k=MTMwOTY%3D
Overlai,Technology Solutions,Aptos,https://www.rootdata.com/Projects/detail/Overlai?k=MTMwOTU%3D
Haust Network,DeFi、Infra、Layer1,None,https://www.rootdata.com/Projects/detail/Haust%20Network?k=MTMwOTI%3D
Vanilla Finance,DeFi、Derivatives,Scroll,https://www.rootdata.com/Projects/detail/Vanilla%20Finance?k=MTMwOTE%3D
SeiPort,DeFi、DEX,Sei Network,https://www.rootdata.com/Projects/detail/SeiPort?k=MTMwODg%3D
PlayFi,Infra、Layer2、Gaming Solutions,None,https://www.rootdata.com/Projects/detail/PlayFi?k=MTMwODc%3D
NightMarket,Gaming、Gambling Games,None,https://www.rootdata.com/Projects/detail/NightMarket?k=MTMwODI%3D
Bitball,Gaming、Metaverse、Ball Games,None,https://www.rootdata.com/Projects/detail/Bitball?k=MTMwODA%3D
Ventory,NFT、NFT marketplace,"StarkNet, Mint, Venom",https://www.rootdata.com/Projects/detail/Ventory?k=MTMwNzk%3D
StratoVM,Infra、Layer2,Bitcoin,https://www.rootdata.com/Projects/detail/StratoVM?k=MTMwNzg%3D
dAppling network,Infra、Dev Platform,None,https://www.rootdata.com/Projects/detail/dAppling%20network?k=MTMwNzY%3D
SOFA,DeFi,None,https://www.rootdata.com/Projects/detail/SOFA?k=MTMwNzQ%3D
